,Lat,Long,City,Neighborhood,Zillow Home Value,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Median Value/SQFT,Monthly +/- in MVSF,Quarterly +/- in MVSF,Yearly +/- in MVSF,Zillow Rent Index,Monthly +/- Rent,Quarterly +/- Rent,Yearly +/- Rent,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
120,36.8357410936,-76.2137818159,Norfolk City,Woodbine,307400,-0.003,-0.001,0.021,0.019,0.007,142,0.0,0.0,0.022,,,,,1.0,Coworking Space,Optometrist,Light Rail Station,Dive Bar,River
121,36.9074280813,-76.2943364315,Norfolk City,Algonquin,743400,-0.004,-0.007,0.003,0.004,0.002,205,-0.005,-0.01,0.005,,,,,3.0,Chinese Restaurant,Park,Garden Center,Pizzeria,Music Venue
122,36.8970568785,-76.26279181539998,Norfolk City,Roland Park,177700,0.001,-0.003,0.011,0.022,-0.004,146,0.0,0.0,0.014,,,,,2.0,Fuel Station,Construction Supplies Store,Food and Beverage Retail,Pet Supplies Store,Hobby Store
123,36.901268965,-76.2540112488,Norfolk City,Inglenook,163700,0.013,0.023,0.055,0.025,0.002,148,0.007,0.021,0.05,,,,,3.0,Food and Beverage Retail,Hobby Store,Convenience Store,Construction Supplies Store,Seafood Restaurant
124,36.8543192206,-76.28766392680001,Norfolk City,Downtown,225100,-0.001,-0.003,-0.009,0.003,-0.018,193,0.0,0.0,-0.005,,,,,3.0,Night Club,Pizzeria,Hotel,Theater,Cosmetics Store
125,36.9500235413,-76.2504430882,Norfolk City,Pinewell,280800,0.001,0.006,0.042,0.036,-0.002,142,0.0,0.0,0.036,,,,,3.0,Convenience Store,Pizzeria,Beach,Discount Store,Chinese Restaurant
126,36.8779068822,-76.2583223141,Norfolk City,Fairmount Park,159200,0.005,0.012,0.043,0.028,0.003,433,0.005,0.012,0.043,,,,,3.0,Fried Chicken Joint,Discount Store,Seafood Restaurant,Pharmacy,Car Parts and Accessories
127,36.8348745649,-76.2030162342,Norfolk City,River Forest Shores,247600,0.0,0.003,0.017,0.019,0.003,145,0.0,0.0,0.014,,,,,1.0,Coworking Space,River,Bar,Dive Bar,Park
128,36.9249935916,-76.3021830066,Norfolk City,Norfolk Crossing,178000,0.009,0.023,0.043,0.044,0.026,121,0.017,0.025,0.043,,,,,2.0,Arts and Entertainment,Sandwich Spot,Hunting Supply Store,Convenience Store,Fuel Station
129,36.8354225146,-76.25781539180001,Norfolk City,Campostella Heights,165400,-0.003,-0.019,-0.001,0.038,-0.005,107,0.0,-0.018,0.0,,,,,2.0,Fast Food Restaurant,Convenience Store,Boat or Ferry,Fuel Station,Zoo
130,36.8699549806,-76.2188041423,Norfolk City,River Oaks,187900,0.005,0.016,0.091,0.054,0.004,134,0.008,0.015,0.089,,,,,3.0,Hotel,Coffee Shop,Fast Food Restaurant,Convenience Store,Supermarket
131,36.8543347815,-76.2284424621,Norfolk City,Broad Creek Shores,253800,-0.003,-0.007,0.007,0.019,0.01,119,0.0,-0.008,0.008,,,,,2.0,Park,Intersection,Boat or Ferry,Fuel Station,New American Restaurant
132,36.8396653819,-76.2005573414,Norfolk City,Wayside Manor,177200,-0.001,-0.008,-0.028,0.036,0.005,144,-0.007,-0.014,-0.027,,,,,3.0,Coworking Space,Dive Bar,Pizzeria,Museum,Music Store
133,36.9227135429,-76.2380282044,Norfolk City,South Bayview,214000,0.002,0.006,0.025,0.031,0.004,142,0.0,0.007,0.022,,,,,3.0,Mexican Restaurant,Convenience Store,Chinese Restaurant,Fuel Station,Breakfast Spot
134,36.8879533116,-76.2331433073,Norfolk City,Brandon Place,187500,0.001,0.005,0.024,0.04,0.004,136,0.0,0.007,0.023,,,,,2.0,Pizzeria,Fuel Station,Discount Store,Convenience Store,Nature Preserve
135,36.9115857463,-76.29980708779999,Norfolk City,River Front,201100,0.004,0.01,0.018,0.021,-0.007,139,0.007,0.015,0.022,,,,,3.0,Chinese Restaurant,Rental Car Location,Hookah Bar,Convenience Store,Pizzeria
136,36.9231387834,-76.21807546069999,Norfolk City,Roosevelt,191700,0.002,0.007,0.027,0.026,0.001,143,0.007,0.007,0.029,,,,,3.0,Discount Store,Fast Food Restaurant,Park,Pizzeria,Bar
137,36.8683913469,-76.239724729,Norfolk City,Coleman Place,178800,0.008,0.016,0.036,0.044,0.006,139,0.007,0.015,0.037,,,,,3.0,Convenience Store,Discount Store,Fast Food Restaurant,Seafood Restaurant,Diner
138,36.9154458606,-76.2603006759,Norfolk City,Denby Park,160700,0.007,0.01,0.08,0.034,-0.005,144,0.007,0.007,0.075,,,,,0.0,Sandwich Spot,Fast Food Restaurant,Supermarket,Fuel Station,Mexican Restaurant
139,36.9150582371,-76.30304335619998,Norfolk City,Meadowbrook,303500,0.001,0.0,0.015,0.013,-0.006,5207,0.001,0.0,0.015,,,,,3.0,Chinese Restaurant,Pizzeria,Bar,Art Museum,Fuel Station
140,36.9651600086,-76.2802841486,Norfolk City,Willoughby,224400,0.0,0.0,0.026,0.023,-0.012,924,-0.001,0.0,0.026,,,,,3.0,Harbor or Marina,Convenience Store,Motel,Beach,Zoo
141,36.9035327601,-76.2338905512,Norfolk City,Meadowbrook Woods,227300,0.004,0.011,0.019,0.02,0.001,143,0.0,0.007,0.014,,,,,3.0,Convenience Store,Supermarket,Rental Car Location,Boat or Ferry,Discount Store
142,36.8951817437,-76.2291209253,Norfolk City,Shadywood East,148100,0.0,0.005,-0.015,---,---,133,0.0,0.008,-0.015,,,,,2.0,Fuel Station,Discount Store,Convenience Store,Chinese Restaurant,Supermarket
143,36.9246381452,-76.2475491182,Norfolk City,Colonial Heights,195500,0.002,0.005,0.033,0.031,0.009,144,0.0,0.007,0.036,,,,,2.0,Deli,Discount Store,Fried Chicken Joint,Fuel Station,Fast Food Restaurant
144,36.8803826947,-76.237360317,Norfolk City,Greenwood,182100,0.004,0.01,0.026,0.038,0.002,138,0.007,0.015,0.03,,,,,0.0,Convenience Store,Pizzeria,Intersection,Sushi Restaurant,Seafood Restaurant
145,36.9005855128,-76.2995442864,Norfolk City,Larchmont,392100,-0.001,0.0,0.009,0.01,0.001,162,0.0,0.0,0.013,,,,,0.0,Park,Sandwich Spot,Diner,Hiking Trail,River
146,36.9423537326,-76.2299766746,Norfolk City,Cottage Line,242400,0.0,0.004,0.039,0.03,-0.004,189,0.0,0.005,0.038,,,,,3.0,Beach,Hotel,BBQ Joint,Discount Store,Grocery Store
147,36.9206060315,-76.2627405233,Norfolk City,Monticello Village,192200,0.008,0.021,0.079,0.051,0.015,132,0.008,0.023,0.082,,,,,0.0,Supermarket,Discount Store,Fast Food Restaurant,Mexican Restaurant,Coffee Shop
148,36.8628146902,-76.27455112060001,Norfolk City,Olde Huntersville,126000,-0.008,-0.016,0.084,0.021,-0.023,90,-0.011,-0.022,0.084,,,,,3.0,Fast Food Restaurant,Ice Cream Parlor,Vintage and Thrift Store,Tea Room,Theater
149,36.8841654242,-76.30041621640001,Norfolk City,ODU Village,152900,0.0,0.015,0.094,0.034,-0.016,163,0.0,0.012,0.094,,,,,0.0,Sandwich Spot,Convenience Store,Pizzeria,Fast Food Restaurant,Chinese Restaurant
150,36.8513506723,-76.29571093189999,Norfolk City,Freemason Street Area Association,349900,-0.001,-0.002,0.01,0.011,0.003,223,0.0,0.0,0.014,,,,,3.0,Hotel,Bar,Night Club,Italian Restaurant,Pizzeria
151,36.8857783501,-76.2873710491,Norfolk City,Colonial Place,285600,-0.001,-0.004,0.017,0.024,0.006,1099,-0.001,-0.004,0.017,,,,,0.0,Restaurant,Convenience Store,Flower Store,Pizzeria,Coffee Shop
152,36.9123329847,-76.2287327878,Norfolk City,Larrymore Lawns,226700,0.0,0.001,0.016,0.023,0.006,124,0.0,0.0,0.016,,,,,3.0,Convenience Store,Grocery Store,Vintage and Thrift Store,Pizzeria,Fast Food Restaurant
153,36.9276625522,-76.1952679539,Norfolk City,East Ocean View,353400,-0.003,-0.003,0.023,0.024,0.001,475,-0.004,-0.004,0.022,,,,,3.0,Seafood Restaurant,Mexican Restaurant,Harbor or Marina,Pizzeria,Hotel
154,36.875511498,-76.2489553824,Norfolk City,East Fairmount,135600,0.009,0.02,0.08,0.033,-0.004,131,0.008,0.016,0.074,,,,,2.0,Car Parts and Accessories,Fried Chicken Joint,Convenience Store,Fuel Station,Electronics Store
155,36.9138662101,-76.2002995131,Norfolk City,Camellia Shores,232000,0.0,-0.001,-0.002,0.019,-0.007,134,0.0,-0.007,-0.007,,,,,0.0,Sandwich Spot,Pizzeria,Italian Restaurant,Pharmacy,Chinese Restaurant
156,36.8566399577,-76.26784396640001,Norfolk City,Bruce's Park,152900,-0.007,-0.018,0.028,0.033,-0.004,113,-0.009,-0.017,0.027,,,,,2.0,Fast Food Restaurant,Fried Chicken Joint,Fuel Station,Furniture and Home Store,Theater
157,36.8463860695,-76.3356605654,Portsmouth City,Port Norfolk,186100,0.008,0.027,0.08,0.029,0.012,116,0.009,0.027,0.084,---,---,---,---,3.0,Pizzeria,Playground,Medical Supply Store,Pier,Tour Provider
158,36.8463860695,-76.3356605654,Portsmouth City,Port Norfolk,186100,0.008,0.027,0.08,0.029,0.012,116,0.009,0.027,0.084,---,---,---,---,3.0,Pizzeria,Playground,Medical Supply Store,Pier,Tour Provider
159,36.8853603807,-76.2403538096,Norfolk City,Norview Heights,179700,0.004,0.009,0.043,0.045,0.003,136,0.0,0.007,0.038,,,,,2.0,Fuel Station,Convenience Store,Pizzeria,Bus Station,Intersection
160,36.8490647239,-76.3628439945,Portsmouth City,Wise Beach,272800,0.002,0.015,0.05,0.011,0.008,139,0.0,0.015,0.053,---,---,---,---,1.0,Park,Outlet Store,Moving Target,Museum,Music Store
161,36.8179235357,-76.3371957371,Portsmouth City,Truxton,111400,-0.009,-0.021,0.023,0.001,-0.009,105,-0.009,-0.019,0.029,---,---,---,---,3.0,Convenience Store,Rental Car Location,Motorcycle Dealership,Seafood Restaurant,Chinese Restaurant
162,36.8769562737,-76.4037884681,Portsmouth City,Peachtree,142600,0.009,0.02,-0.001,-0.001,0.004,120,0.008,0.026,0.0,---,---,---,---,2.0,Vintage and Thrift Store,Fuel Station,Plaza,Pizzeria,Discount Store
163,36.8901754081,-76.3896765487,Portsmouth City,Edgefield,229200,0.003,0.016,0.06,0.038,0.025,138,0.0,0.015,0.062,---,---,---,---,3.0,Ice Cream Parlor,Nature Preserve,Hiking Trail,Other Great Outdoors,Movie Theater
164,36.7950876384,-76.363840767,Portsmouth City,Cavalier Manor,164800,0.004,0.021,0.13,0.042,0.021,126,0.0,0.016,0.125,1200,0.003,0.017,0.059,3.0,Park,Discount Store,Convenience Store,Playground,Other Great Outdoors
165,36.8791648652,-76.3914362414,Portsmouth City,Twin Pines,157900,0.01,0.039,0.087,0.036,0.02,109,0.009,0.038,0.09,---,---,---,---,3.0,Park,Fuel Station,Chinese Restaurant,Pizzeria,Discount Store
166,36.806261837,-76.37073381489999,Portsmouth City,Hattonsville,207700,0.006,0.01,0.018,0.027,0.006,127,0.008,0.008,0.016,---,---,---,---,0.0,Discount Store,Fast Food Restaurant,Ice Cream Parlor,Fried Chicken Joint,Rental Car Location
167,36.8234994271,-76.3154474003,Portsmouth City,Prentis Park,133000,0.024,0.065,0.237,0.066,0.013,101,0.02,0.063,0.232,1155,0,0.024,0.086,2.0,Convenience Store,Deli,Fuel Station,Discount Store,Zoo
168,36.8634943612,-76.3724016968,Portsmouth City,Cavalier Forest,217000,0.006,0.022,0.073,0.031,0.014,135,0.007,0.023,0.071,---,---,---,---,3.0,Spa,Zoo,Other Great Outdoors,Moving Target,Museum
169,36.8770776672,-76.3858173461,Portsmouth City,Merrifields,224800,0.003,0.012,0.063,0.034,0.015,132,0.0,0.008,0.065,---,---,---,---,3.0,Park,Bookstore,Convenience Store,Chinese Restaurant,Clothing Store
170,36.800949480300005,-76.3171605368,Portsmouth City,Cradock,128400,-0.005,-0.01,0.017,0.012,0.005,100,-0.01,-0.01,0.02,1159,0.007,0.039,0.062,3.0,Fried Chicken Joint,Boat or Ferry,Car Parts and Accessories,Grocery Store,Chinese Restaurant
171,36.8220171147,-76.3699307639,Portsmouth City,Simonsdale,152200,0.009,0.028,0.099,0.036,0.03,135,0.007,0.031,0.098,---,---,---,---,3.0,Pizzeria,Supermarket,Toy Store,Chinese Restaurant,Seafood Restaurant
172,36.8340902281,-76.3366380313,Portsmouth City,Mt. Herman,143000,0.001,0.009,0.082,0.041,0.02,114,0.0,0.009,0.086,---,---,---,---,3.0,Fast Food Restaurant,Convenience Store,Fuel Station,Italian Restaurant,Pizzeria
173,36.847519573,-76.3466745186,Portsmouth City,Lynn Shores,180800,0.005,0.021,0.096,0.032,0.015,133,0.0,0.023,0.09,---,---,---,---,3.0,Harbor or Marina,Deli,Dog Park,Hot Dog Joint,Playground
174,36.8277278166,-76.383996198,Portsmouth City,Park Manor,194600,0.005,0.019,0.067,0.034,0.021,135,0.0,0.015,0.063,1275,0,-0.005,-0.017,2.0,Fuel Station,Fast Food Restaurant,Supermarket,Toy Store,Pizzeria
175,36.837565174,-76.3541996708,Portsmouth City,Waterview,226600,0.009,0.022,0.03,0.016,0.005,118,0.009,0.026,0.035,---,---,---,---,2.0,Fuel Station,Bistro,American Restaurant,Coffee Shop,Zoo
176,36.8192791911,-76.3558264363,Portsmouth City,Oregon Acres,174600,0.002,0.012,0.066,0.037,0.014,125,0.0,0.016,0.068,---,---,---,---,3.0,Seafood Restaurant,Pizzeria,Hardware Store,Discount Store,"Shipping, Freight, and Material Transportation Service"
177,36.8683744288,-76.3957223761,Portsmouth City,Ebony Heights,164400,0.003,0.017,0.074,0.034,0.015,138,0.0,0.015,0.07,---,---,---,---,3.0,Fuel Station,Fast Food Restaurant,Pizzeria,Car Parts and Accessories,Discount Store
178,36.8693465647,-76.3882091431,Portsmouth City,North Siesta Gardens,236100,0.002,0.014,0.062,0.026,0.019,134,0.0,0.015,0.063,---,---,---,---,0.0,Supermarket,Hot Dog Joint,Convenience Store,Chinese Restaurant,Coffee Shop
179,36.8043930081,-76.3347017288,Portsmouth City,Highlands,142800,0.005,0.013,0.053,0.02,0.013,360,0.003,0.011,0.053,1162,0.005,0.023,0.063,0.0,Video Store,American Restaurant,Asian Restaurant,Outlet Store,Grocery Store
180,36.845928306,-76.3764048732,Portsmouth City,Sterling Point,258900,0.005,0.019,0.061,0.029,0.015,122,0.0,0.017,0.061,---,---,---,---,1.0,Park,Intersection,Italian Restaurant,Pub,Night Club
181,36.865234563200005,-76.36382078529999,Portsmouth City,Hunters Point,225000,0.003,0.017,0.066,0.035,0.021,127,0.008,0.024,0.067,---,---,---,---,2.0,Fuel Station,Spa,Bar,Zoo,Organic Grocery
182,36.8285811046,-76.3506214818,Portsmouth City,Westhaven,156200,0.005,0.023,0.072,0.037,0.028,127,0.008,0.024,0.076,1166,0,-0.006,0.034,2.0,Convenience Store,Fuel Station,Sandwich Spot,Big Box Store,Pharmacy
183,36.8189780262,-76.3929495607,Portsmouth City,Mayflower Park,202700,0.005,0.02,0.08,0.033,0.019,4003,0.005,0.02,0.08,---,---,---,---,3.0,Chinese Restaurant,Hot Dog Joint,Seafood Restaurant,Fast Food Restaurant,Pharmacy
184,36.841640672,-76.32569551479999,Portsmouth City,Shea Terrace,168700,0.015,0.041,0.102,0.031,0.017,116,0.018,0.045,0.105,---,---,---,---,3.0,Market,Pier,Medical Supply Store,Convenience Store,Seafood Restaurant
185,36.8544678158,-76.3851727047,Portsmouth City,Nottingham-Westmoreland,136900,0.001,0.015,0.06,0.026,0.024,96,0.011,0.021,0.067,---,---,---,---,3.0,Travel and Transportation,Coffee Shop,Intersection,Italian Restaurant,Chinese Restaurant
186,36.8550927717,-76.3712847269,Portsmouth City,Hatton Point,236700,0.004,0.015,0.05,0.03,0.01,128,0.008,0.016,0.049,---,---,---,---,2.0,Intersection,Zoo,Outlet Store,Moving Target,Museum
187,36.8712322513,-76.4087819226,Portsmouth City,Churchland Southwest,173800,0.012,0.032,0.088,0.048,0.035,137,0.007,0.03,0.087,---,---,---,---,3.0,Hotel,Fuel Station,Chinese Restaurant,Convenience Store,Fast Food Restaurant
188,36.8167153534,-76.31308599569999,Portsmouth City,Brighton,118000,0.028,0.072,0.22,0.034,0.009,101,0.02,0.063,0.217,---,---,---,---,3.0,Convenience Store,Bowling Alley,Liquor Store,Discount Store,Electronics Store
